Month,Relation,Sentiment
2024-01,China-Canada,-0.0324239910331248
2024-01,USA-Canada,0.007184751135429692
2024-01,USA-China,0.0712729250535214
2024-02,China-Canada,-0.008471087430604426
2024-02,USA-Canada,0.0062215234297176986
2024-02,USA-China,0.046717551685063266
2024-03,China-Canada,-0.04928434115077515
2024-03,USA-Canada,0.06493111433676504
2024-03,USA-China,0.07951267190817107
2024-04,China-Canada,-0.014640316012193568
2024-04,USA-Canada,0.04866449801159105
2024-04,USA-China,0.006796669737043482
2024-05,China-Canada,0.02021314515820956
2024-05,USA-Canada,0.02878262705949334
2024-05,USA-China,0.02351400485097985
2024-06,China-Canada,-0.022356611552630818
2024-06,USA-Canada,0.0
2024-06,USA-China,0.012443259939945878
2024-07,China-Canada,-0.006569111953497902
2024-07,USA-Canada,0.01291874474100077
2024-07,USA-China,0.045415079287902504
2024-08,China-Canada,-0.04215829234688715
2024-08,USA-Canada,0.04061202494901333
2024-08,USA-China,0.03521848733594168
2024-09,China-Canada,-0.04295814729698427
2024-09,USA-Canada,0.030959103817639378
2024-09,USA-China,0.05188824994744413
2024-10,China-Canada,-0.07058823529411758
2024-10,USA-Canada,0.009656043971248932
2024-10,USA-China,0.046901671380983515
2024-11,China-Canada,0.015319925575153817
2024-11,USA-Canada,0.041988657250554624
2024-11,USA-China,0.09711003408789774
2024-12,China-Canada,-0.031288904935848585
2024-12,USA-Canada,0.0010419736451785528
2024-12,USA-China,0.06323588637658328
2025-01,China-Canada,0.06666666666666685
2025-01,USA-Canada,0.029099403775986004
2025-01,USA-China,0.03386428477478742
2025-02,China-Canada,-0.07077661804250139
2025-02,USA-Canada,0.03770066847811189
2025-02,USA-China,0.036258867500999985
2025-03,China-Canada,-0.02966905913239548
2025-03,USA-Canada,0.004502048383399696
2025-03,USA-China,-0.006772496809127411
2025-04,China-Canada,-0.04448789729098309
2025-04,USA-Canada,0.011313690660123814
2025-04,USA-China,-0.006126509118096367
2025-05,China-Canada,-0.03345295246804123
2025-05,USA-Canada,0.014695465440496328
2025-05,USA-China,0.03956893471257883
2025-06,China-Canada,-0.05488986666669131
2025-06,USA-Canada,0.004503884763429127
2025-06,USA-China,0.04748751667784301
2025-07,China-Canada,-0.005081641949226631
2025-07,USA-Canada,0.1223035359036561
2025-07,USA-China,0.051960555800396345
