DATE,EXCHUS,Month
2021-01-01,6.4672,2021-01
2021-02-01,6.4601,2021-02
2021-03-01,6.5109,2021-03
2021-04-01,6.5186,2021-04
2021-05-01,6.4321,2021-05
2021-06-01,6.425,2021-06
2021-07-01,6.4763,2021-07
2021-08-01,6.4768,2021-08
2021-09-01,6.4563,2021-09
2021-10-01,6.4172,2021-10
2021-11-01,6.3889,2021-11
2021-12-01,6.3693,2021-12
2022-01-01,6.3556,2022-01
2022-02-01,6.3436,2022-02
2022-03-01,6.3446,2022-03
2022-04-01,6.431,2022-04
2022-05-01,6.699,2022-05
2022-06-01,6.6952,2022-06
2022-07-01,6.7352,2022-07
2022-08-01,6.8007,2022-08
2022-09-01,7.0195,2022-09
2022-10-01,7.1902,2022-10
2022-11-01,7.1812,2022-11
2022-12-01,6.9717,2022-12
2023-01-01,6.7904,2023-01
2023-02-01,6.838,2023-02
2023-03-01,6.8909,2023-03
2023-04-01,6.8876,2023-04
2023-05-01,6.9854,2023-05
2023-06-01,7.1614,2023-06
2023-07-01,7.1863,2023-07
2023-08-01,7.2486,2023-08
2023-09-01,7.2979,2023-09
2023-10-01,7.3071,2023-10
2023-11-01,7.2226,2023-11
2023-12-01,7.1402,2023-12
2024-01-01,7.1707,2024-01
2024-02-01,7.1935,2024-02
2024-03-01,7.2015,2024-03
2024-04-01,7.2374,2024-04
2024-05-01,7.2327,2024-05
2024-06-01,7.2547,2024-06
2024-07-01,7.2609,2024-07
2024-08-01,7.1475,2024-08
2024-09-01,7.076,2024-09
2024-10-01,7.0881,2024-10
2024-11-01,7.2063,2024-11
2024-12-01,7.2807,2024-12
2025-01-01,7.2957,2025-01
2025-02-01,7.2734,2025-02
2025-03-01,7.2493,2025-03
2025-04-01,7.2968,2025-04
2025-05-01,7.2166,2025-05
2025-06-01,7.1804,2025-06
